Asylum Centre,Canton,X,Y
Buch SH – Durchgangszentrum Friedeck – Oberdorfstrasse 15,SH,2701016.75,1285815.125
Losone,TI,2701633.5,1114321.125
Stein am Rhein – Asylunterkunft Hotel Schwanen,SH,2706668,1279499.375
Bauma - Durchgangszentrum Bauma - Tössareal,ZH-ag,2707790.25,1247573
Frauenfeld – Durchgangsheim Häberlinstrasse 19 8502 Frauenfeld,TG,2708792.5,1268172.125
Medel – Bunker,GR,2709575.25,1165022.375
Matzingen – Durchgangsheim Frauenfelderstrasse 60 9548 Matzingen,TG,2712121.5,1264758.125
Eschlikon (TG) – Schulheim Egg - Bahnhofstrasse 17 – Eschlikon,TG,2714749.25,1257992.875
Eschenbach - Zivilschutzanlage Holz in St.Gallenkappel  ,SG,2715466.5,1233831.875
Paradiso – Via Barzaghi 9,TI ,2716952.25,1094261.5
Biasca – Via dei Borradori 13,TI ,2717686,1136714.125
"Lugano – Via alla stampa 11b, Cadro",TI ,2718837.25,1100150.875
Sirnach – Busswil,TG,2718994.25,1257198.875
"Glarus Sud – Linthal, Hauptrasse 18, Heim Matt",GL,2719039.75,1198091.625
Camorino – Protezione Civile,TI,2720009.328,1113752.345
Wilen – Zivilschutzanlage,TG,2720099.5,1256338.625
Wil - Wohnfoyer Kreuzackerstrasse,SG,2720805.25,1258642.25
Rickenbach (TG) – Zivilschutzanlage,TG,2721397,1256874.625
"Glarus Nord – Niederurnen, Hauptstrasse 14 und 16",GL,2722463,1220535.75
Glarus Nord – Restaurant Sonne in Näfels,GL,2723113,1217684
Glarus Nord – Näfels – Oberdorf 7,GL,2723358.5,1217542.125
Chiasso – Centro di registrazione e di procedura - Via 1.Agosto,TI ,2723975.25,1076962.5
Glarus – Durchgangszentrum Rain Ennenda ,GL,2724624,1210821
"Weesen – ehemalige Altersheim, Haus Pelikan",SG,2725422.75,1221699.75
Weinfelden – Durchgangsheim Amriswilerstrasse 35 & Tellstrasse 6 8570 Weinfelden,TG,2726354,1269761.375
Neckertal - Zentrum für Asylsuchende Neckermühle im Neckerthal/Oberhelfenschwil,SG,2727836.5,1245724.375
Oberbüren – Zentrum Thurhof,SG,2729288.75,1257697.625
Kreuzlingen - Döbelistrasse 13 8280 Kreuzlingen,TG,2729766.75,1279605.75
"Schluein – Transitzentrum Löwenberg, Via Casti 52, 7151 ",GR,2736083,1183315
Laax – Transitzentrum Rustico,GR,2739365,1186346.25
Quarten – Asylzentrum Bom­mer­stein in Mols,SG,2739402.25,1219554.5
Amriswil – Durchgangsheim Florastrasse 5 8580 Amriswil,TG,2740448.25,1268082.125
Hefenhofen – Durchgangsheim Industriestrasse 4 8580 Hefenhofen,TG,2741118.75,1268350
St. Gallen – St.Galler Quartier Riethüsli,SG,2745516.75,1252831.25
Romanshorn – Durchgangsheim Kreuzstrasse 3 8590 Romanshorn,TG,2745768.5,1270067.75
Appenzell – Mettlen,AI,2748408,1244758
Arbon I - Durchgangsheim St. Gallerstrasse 99  9320 Arbon ,TG,2749074.5,1263844
"Cazis - Transitzentrum Rheinkrone, Italienische Strasse 129",GR,2751634.25,1179800.75
Eggersriet – Zentrum Ladegg,SG,2757597,1259203.75
"Chur – Emserstrasse, Zivilschutzanlage",GR,2757722.25,1190392.875
Chur – Foral,GR,2757908,1189952
Oberegg ,AI,2759282.5,1253423.5
Altstätten,SG,2759828.5,1249625.875
Landquart – Waldau,GR,2762152.5,1204017.25
"Grüsch – Valzeina, Ausreisezentrum Flüeli, 7213 ",GR,2764397,1201946
"Arosa – Litzirüti, sport und ferienhaus Valbella",GR,2772932.25,1185530.375
Davos - Schiabach,GR,2782997,1186344
"Davos - Davos Wolfgang, Transitzentrum Landhaus, Prättigauerstrasse 37",GR,2785560,1190486.625
